【令和８年５月１日時点】入所児童数,,,,,,,,,,,,
施設所在区,標準地域コード,施設・事業名,施設番号,０歳児,１歳児,２歳児,３歳児,４歳児,５歳児,合計,更新日,
瀬谷区,14114,ほうゆう保育園,1410051017846,2,9,15,13,12,13,64,2026-05-01,
瀬谷区,14114,下瀬谷保育園,1410051025278,-,14,15,15,15,14,73,2026-05-01,
瀬谷区,14114,ネスト瀬谷,1410051024644,7,7,7,13,13,13,60,2026-05-01,
瀬谷区,14114,わらべ細谷戸保育園,1410051026185,-,12,15,14,13,12,66,2026-05-01,
瀬谷区,14114,保育室「ネスト」,1410051026797,6,7,7,10,7,10,47,2026-05-01,
瀬谷区,14114,認定こども園　あづまの幼稚園・あづまのナーサリー,1410051020550,3,7,10,10,8,9,47,2026-05-01,
瀬谷区,14114,認定こども園はらのこ　原幼稚園,1410051020568,6,12,12,12,12,11,65,2026-05-01,
瀬谷区,14114,認定こども園二ツ橋あいりん幼稚園,1410051026250,0,0,1,0,6,4,11,2026-05-01,
瀬谷区,14114,認定こども園　みなみ幼稚園,1410051024123,-,12,15,17,18,20,82,2026-05-01,
瀬谷区,14114,阿久和キッズ,1410052002789,6,7,6,-,-,-,19,2026-05-01,
瀬谷区,14114,てぃんく２＠ねすと,1410052003332,3,6,7,-,-,-,16,2026-05-01,
瀬谷区,14114,stellar education garden阿久和小規模保育園,1410052005485,-,6,6,-,-,-,12,2026-05-01,
瀬谷区,14114,はぐ＠ねすと,1410052003324,2,5,6,-,-,-,13,2026-05-01,
瀬谷区,14114,ネストぽぽ,1410052002862,2,7,10,-,-,-,19,2026-05-01,
瀬谷区,14114,ネストうーたん,1410052004702,2,8,8,-,-,-,18,2026-05-01,
瀬谷区,14114,瀬谷そらいろ保育園,1410052005782,2,10,10,-,-,-,22,2026-05-01,
瀬谷区,14114,NPO法人ちびっこハウス,1410052005949,-,9,10,-,-,-,19,2026-05-01,
瀬谷区,14114,瀬谷みらい保育園,1410052005899,-,6,6,-,-,-,12,2026-05-01,
瀬谷区,14114,瀬谷すくすく保育園,1410052006046,-,6,7,-,-,-,13,2026-05-01,
瀬谷区,14114,瀬谷駅前保育園,1410052006145,-,9,10,-,-,-,19,2026-05-01,
瀬谷区,14114,preschool COCO ALICE,1410052006178,-,10,10,-,-,-,20,2026-05-01,
瀬谷区,14114,小規模保育事業　のぞみせや保育園,1410052006293,-,9,10,-,-,-,19,2026-05-01,
